modelo;id_work_center;tiempo;piezas
103S;11;0.0057;1
103S;2;0.0624;4
103S;3;0.1018;4
103S;1;0.0173;1
103S;4;0.0222;1
103S;5;0.0305;1
103S;7;0;0
103S;13;0;0
103S;12;0;0
103S;6;0.041;4
103S;16;0;0
103S;10;0.0587;1
103S;14;0.05;2
103S;8;0;0
103S;9;0;0
103S;15;0;0
103S;17;0;0
105;11;0.0138;12
105;2;0;0
105;3;0.0558;3
105;1;0.0973;7
105;4;0.0363;7
105;5;0;0
105;7;0;0
105;13;0;0
105;12;0;0
105;6;0.0139;3
105;16;0;0
105;10;0;0
105;14;0;0
105;8;0.0842;1
105;9;0;0
105;15;0;0
105;17;0;0
106;11;0.0138;12
106;2;0;0
106;3;0.0582;3
106;1;0.0973;7
106;4;0.0363;7
106;5;0;0
106;7;0;0
106;13;0;0
106;12;0;0
106;6;0.0139;3
106;16;0;0
106;10;0;0
106;14;0;0
106;8;0.0842;1
106;9;0;0
106;15;0;0
106;17;0;0
111;11;0;0
111;2;0.06;1
111;3;0.064;3
111;1;0.029;1
111;4;0.022;1
111;5;0.095;1
111;7;0;0
111;13;0;0
111;12;0;0
111;6;0.02;3
111;16;0;0
111;10;0.019;1
111;14;0;0
111;8;0;0
111;9;0;0
111;15;0;0
112;11;0;0
112;2;0;0
112;3;0;0
112;1;0;0
112;4;0;0
112;5;0;0
112;7;0;0
112;13;0;0
112;12;0.036;1
112;6;0.02;1
112;16;0.048;1
112;10;0;0
112;14;0;0
112;8;0;0
112;9;0;0
112;15;0;0
114;11;0.093;4
114;2;0;0
114;3;0.064;3
114;1;0.058;1
114;4;0.048;1
114;5;0.098;1
114;7;0;0
114;13;0;0
114;12;0;0
114;6;0.2;3
114;16;0;0
114;10;0.027;1
114;14;0.043;2
114;8;0;0
114;9;0;0
114;15;0;0
116;11;0;0
116;2;0;0
116;3;0.123;2
116;1;0.15;17
116;4;0.17;17
116;5;0;0
116;7;0;0
116;13;0;0
116;12;0;0
116;6;0.01;2
116;16;0;0
116;10;0;0
116;14;0.043;4
116;8;0;0
116;9;0.1464;1
116;15;0;0
118;11;0.093;4
118;2;0;0
118;3;0.053;3
118;1;0.046;1
118;4;0.043;1
118;5;0.045;1
118;7;0;0
118;13;0;0
118;12;0;0
118;6;0.02;3
118;16;0;0
118;10;0.027;1
118;14;0.043;2
118;8;0;0
118;9;0;0
118;15;0;0
120S;11;0.0158;2
120S;2;0.0568;6
120S;3;0.0928;4
120S;1;0.041;2
120S;4;0.0318;2
120S;5;0.0305;2
120S;7;0;0
120S;13;0;0
120S;12;0;0
120S;6;0.041;7
120S;16;0;0
120S;10;0.0528;1
120S;14;0;0
120S;8;0;0
120S;9;0;0
120S;15;0;0
120S;17;0;0
122;11;0;0
122;2;0;0
122;3;0;0
122;1;0;0
122;4;0;0
122;5;0;0
122;7;0.012;2
122;13;0;0
122;12;0.036;1
122;6;0.02;1
122;16;0.048;1
122;10;0;0
122;14;0;0
122;8;0;0
122;9;0;0
122;15;0;0
123S;11;0.0097;1
123S;2;0.0568;4
123S;3;0.0928;4
123S;1;0.0173;1
123S;4;0.0222;1
123S;5;0.0305;1
123S;7;0;0
123S;13;0;0
123S;12;0;0
123S;6;0.041;4
123S;16;0;0
123S;10;0.0587;1
123S;14;0;0
123S;8;0;0
123S;9;0;0
123S;15;0;0
123S;17;0;0
129;11;0.04;4
129;2;0;0
129;3;0;0
129;1;0.0452;5
129;4;0.0665;5
129;5;0.0305;5
129;7;0;0
129;13;0;0
129;12;0;0
129;6;0;0
129;16;0;0
129;10;0.0528;1
129;14;0.043;2
129;8;0;0
129;9;0;0
129;15;0;0
135;11;0;0
135;2;0;0
135;3;0;0
135;1;0.198;12
135;4;0.1722;12
135;5;0;0
135;7;0;0
135;13;0;0
135;12;0;0
135;6;0.0115;8
135;16;0;0
135;10;0;0
135;14;0.0193;4
135;8;0;0
135;9;0.441;1
135;15;0;0
135;17;0;0
141;11;0.0097;1
141;2;0.0568;0
141;3;0.0928;4
141;1;0.0173;1
141;4;0.0222;1
141;5;0.0305;1
141;7;0;0
141;13;0;0
141;12;0;0
141;6;0.041;4
141;16;0;0
141;10;0.0587;1
141;14;0;0
141;8;0;0
141;9;0;0
141;15;0;0
141;17;0;0
145;11;0.016;1
145;2;0;0
145;3;0.02;1
145;1;0.071;5
145;4;0.092;5
145;5;0.173;5
145;7;0;0
145;13;0;0
145;12;0;0
145;6;0.01;2
145;16;0;0
145;10;0.026;1
145;14;0.043;4
145;8;0;0
145;9;0;0
145;15;0;0
149S;11;0.0158;2
149S;2;0.0568;4
149S;3;0.0928;5
149S;1;0.047;3
149S;4;0.0318;3
149S;5;0.0305;3
149S;7;0;0
149S;13;0;0
149S;12;0;0
149S;6;0.041;5
149S;16;0;0
149S;10;0.0528;1
149S;14;0;0
149S;8;0;0
149S;9;0;0
149S;15;0;0
149S;17;0;0
150;11;0;0
150;2;0;0
150;3;0;0
150;1;0.029;1
150;4;0.022;1
150;5;0;0
150;7;0;0
150;13;0;0
150;12;0;0
150;6;0;0
150;16;0;0
150;10;0.019;1
150;14;0.043;2
150;8;0;0
150;9;0;0
150;15;0;0
151;11;0;0
151;2;0;0
151;3;0;0
151;1;0.059;2
151;4;0.032;2
151;5;0;0
151;7;0;0
151;13;0;0
151;12;0;0
151;6;0;0
151;16;0;0
151;10;0.019;1
151;14;0.043;2
151;8;0;0
151;9;0;0
151;15;0;0
153;11;0.011;1
153;2;0.06;2
153;3;0.0928;4
153;1;0.029;1
153;4;0.022;1
153;5;0.095;1
153;13;0;0
153;12;0;0
153;6;0.0096;4
153;16;0;0
153;10;0.069;1
153;14;0.043;0
153;8;0;0
153;9;0;0
153;15;0;0
165;11;0.04;1
165;2;0;0
165;3;0.086;4
165;1;0.031;5
165;4;0.113;5
165;5;0.133;5
165;7;0;0
165;13;0;0
165;12;0;0
165;6;0.02;5
165;16;0;0
165;10;0.057;1
165;14;0.043;2
165;8;0;0
165;9;0;0
165;15;0;0
168;11;0;0
168;2;0.08;3
168;3;0.134;6
168;1;0.055;5
168;4;0.066;5
168;5;0;0
168;13;0;0
168;12;0;0
168;6;0.0288;6
168;16;0;0
168;10;0;0
168;14;0.043;2
168;8;0;0
168;9;0.142;1
168;15;0;0
175;11;0.032;2
175;2;0;0
175;3;0;0
175;1;0.132;6
175;4;0.127;6
175;5;0;0
175;7;0;0
175;13;0;0
175;12;0;0
175;6;0.01;2
175;16;0;0
175;10;0;0
175;14;0.043;2
175;8;0;0
175;9;0.464;1
175;15;0;0
183;11;0.0008;4
183;2;0;0
183;3;0;0
183;1;0.086;4
183;4;0.031;4
183;5;0.173;3
183;7;0;0
183;13;0;0
183;12;0;0
183;6;0.019;3
183;16;0;0
183;10;0.057;1
183;14;0.043;2
183;8;0;0
183;9;0;0
183;15;0;0
184;11;0.0008;4
184;2;0;0
184;3;0;0
184;1;0.066;4
184;4;0.031;4
184;5;0.053;3
184;7;0;0
184;13;0;0
184;12;0;0
184;6;0.019;3
184;16;0;0
184;10;0.057;1
184;14;0.043;2
184;8;0;0
184;9;0;0
184;15;0;0
